root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940618762605,efferent,descending,,,MX12,left,CV
720575940618818395,efferent,descending,,,MX3,left,CV
720575940618827910,efferent,descending,,,LB6,left,CV
720575940618863553,efferent,descending,,,,right,CV
720575940618870113,efferent,descending,,,LB7,left,CV
720575940618870881,efferent,descending,,,PSp2,left,CV
720575940618876830,efferent,descending,,,LB12,right,CV
720575940618936710,efferent,descending,,,SMPpv2_dorsal,right,CV
720575940618947956,efferent,descending,,,MX12,left,CV
720575940619024542,efferent,descending,,,putative_primary,left,CV
720575940619024816,efferent,descending,,,PSp2,right,CV
720575940619038366,efferent,descending,,,putative_primary,right,CV
720575940619038493,efferent,descending,,,putative_primary,right,CV
720575940619074836,efferent,descending,,,LB12,left,CV
720575940619077755,efferent,descending,,,MX12__prim,right,CV
720575940619089005,efferent,descending,,,PSp2,left,CV
720575940619090541,efferent,descending,,,PSp2,left,CV
720575940619116061,efferent,descending,,,putative_primary,right,CV
720575940619133878,efferent,descending,,,MX12,left,CV
720575940619152856,efferent,descending,,,putative_primary,right,CV
720575940619191966,efferent,descending,,,putative_primary,right,CV
720575940619315888,efferent,descending,,,PSp2,left,CV
720575940619332944,efferent,descending,,,MD3,right,CV
720575940619341744,efferent,descending,,,PSp2,left,CV
720575940619372726,efferent,descending,,,LB7,right,CV
720575940619431765,efferent,descending,,,LB6,left,CV
720575940619432261,efferent,descending,,,putative_primary,left,CV
720575940619434587,efferent,descending,,,,right,CV
720575940619451989,efferent,descending,,,DM2_central,left,CV
720575940619486891,efferent,descending,,,PSp2,left,CV
720575940619524852,efferent,descending,,,MX12,left,CV
720575940619530187,efferent,descending,,,,right,CV
720575940619548799,efferent,descending,,,putative_primary,right,CV
720575940619582168,efferent,descending,,,putative_primary,left,CV
720575940619590360,efferent,descending,,,LB7,left,CV
720575940619654053,efferent,descending,,,SMPpv2_ventral,left,CV
720575940619676598,efferent,descending,,,LB7,right,CV
720575940619678366,efferent,descending,,,putative_primary,right,CV
720575940619744496,efferent,descending,,,putative_primary,left,CV
720575940619751872,efferent,descending,,,MX12,right,CV
720575940619757366,efferent,descending,,,putative_primary,left,CV
720575940619790975,efferent,descending,,,PSp2,left,CV
720575940619877396,efferent,descending,,,putative_primary,right,CV
720575940619905916,efferent,descending,,,LB6,left,CV
720575940619910080,efferent,descending,,,LB7,right,CV
720575940619928346,efferent,descending,,,LB12,left,CV
720575940619944513,efferent,descending,,,LB6,right,CV
720575940619945931,efferent,descending,,,,right,CV
720575940620017261,efferent,descending,,,MX12,right,CV
720575940620038779,efferent,descending,,,putative_primary,right,CV
720575940620054694,efferent,descending,,,putative_primary,left,CV
720575940620082512,efferent,descending,,,putative_primary,right,CV
720575940620110215,efferent,descending,,,LB7,right,CV
720575940620135645,efferent,descending,,,MX12,left,CV
720575940620149836,efferent,descending,,,MX12,right,CV
720575940620153765,efferent,descending,,,putative_primary,left,CV
720575940620156283,efferent,descending,,,putative_primary,left,CV
720575940620169607,efferent,descending,,,MD3,right,CV
720575940620231590,efferent,descending,,,MX3,left,CV
720575940620297819,efferent,descending,,,MX12__prim,left,CV
720575940620298772,efferent,descending,,,putative_primary,left,CV
720575940620300308,efferent,descending,,,MX3,right,CV
720575940620322497,efferent,descending,,,WEDd1,left,CV
720575940620328828,efferent,descending,,,LB12,left,CV
720575940620354836,efferent,descending,,,putative_primary,right,CV
720575940620369517,efferent,descending,,,SMPpm1,left,CV
720575940620380449,efferent,descending,,,WEDd1,right,CV
720575940620404182,efferent,descending,,,LB12,left,CV
720575940620468718,efferent,descending,,,SMPpv2_ventral,right,CV
720575940620470976,efferent,descending,,,LB19,right,CV
720575940620473547,efferent,descending,,,putative_primary,left,CV
720575940620534768,efferent,descending,,,WEDd1,left,CV
720575940620541099,efferent,descending,,,putative_primary,left,CV
720575940620543025,efferent,descending,,,putative_primary,left,CV
720575940620561840,efferent,descending,,,putative_primary,right,CV
720575940620564673,efferent,descending,,,LB6,right,CV
720575940620582260,efferent,descending,,,SMPpv2_dorsal,left,CV
720575940620595883,efferent,descending,,,LB6,right,CV
720575940620621190,efferent,descending,,,MD3,left,CV
720575940620622708,efferent,descending,,,putative_primary,right,CV
720575940620625880,efferent,descending,,,SMPpv1,left,CV
720575940620632369,efferent,descending,,,LB6,left,CV
720575940620642940,efferent,descending,,,putative_primary,right,CV
720575940620711334,efferent,descending,,,WEDd1,right,CV
720575940620714150,efferent,descending,,,putative_primary,right,CV
720575940620749807,efferent,descending,,,putative_primary,right,CV
720575940620757748,efferent,descending,,,DM2_central,left,CV
720575940620760692,efferent,descending,,,putative_primary,right,CV
720575940620776880,efferent,descending,,,putative_primary,left,CV
720575940620804566,efferent,descending,,,LB7,left,CV
720575940620815896,efferent,descending,,,LB6,left,CV
720575940620823828,efferent,descending,,,WEDd1,left,CV
720575940620859630,efferent,descending,,,putative_primary,right,CV
720575940620878785,efferent,descending,,,putative_primary,right,CV
720575940620915224,efferent,descending,,,LB7,right,CV
720575940620918789,efferent,descending,,,WEDd1,left,CV
720575940620929483,efferent,descending,,,MX3,left,CV
720575940621002480,efferent,descending,,,LB7,right,CV
720575940621021278,efferent,descending,,,LB6,left,CV
720575940621031006,efferent,descending,,,SMPpm1,right,CV
720575940621065301,efferent,descending,,,putative_primary,left,CV
720575940621068464,efferent,descending,,,putative_primary,right,CV
720575940621071017,efferent,descending,,,LB7,left,CV
720575940621071495,efferent,descending,,,LB7,right,CV
720575940621082111,efferent,descending,,,,left,CV
720575940621107847,efferent,descending,,,MX3,right,CV
