root_id,hemisphere,type,column_id,x,y,p,q
97677,left,L2,97,-0.555555556,0.050847458,6,-4
97678,left,L1,773,0.6111111111111112,-0.661016949,-15,-4
97679,left,L3,217,0.7222222222222221,0.4915254237288136,1,14
97680,left,L2,98,-0.111111111,-0.423728814,-5,-7
97681,left,L2,77,0.2777777777777777,-0.186440678,-5,0
97682,left,L1,195,-0.277777778,-0.050847458,2,-3
97683,left,L3,478,-0.777777778,0.5254237288135593,15,1
97684,left,L1,771,0.38888888888888906,-0.93220339,-17,-10
97685,left,L1,180,0.2777777777777777,-0.93220339,-16,-11
97686,left,L2,551,-0.388888889,-0.322033898,-1,-8
97687,left,L3,664,0.16666666666666674,-0.93220339,-15,-12
97688,left,L2,166,0,0.5932203389830508,9,9
97689,left,L2,14,0.055555556,-0.93220339,-14,-13
97690,left,L2,567,-0.222222222,0.728813559,13,9
97691,left,L2,153,0.8888888888888888,-0.016949153,-8,8
97692,left,L3,742,-0.388888889,0.35593220338983045,9,2
97693,left,L2,586,0.22222222222222232,0.5932203389830508,7,11
97694,left,L3,59,-0.222222222,0.050847458,3,-1
97695,left,L1,620,0.8333333333333333,0.016949152542372836,-7,8
97696,left,L1,215,0.7222222222222221,0.22033898305084754,-3,10
97697,left,L1,355,-0.777777778,-0.220338983,4,-10
97698,left,L3,412,-0.611111111,0.6949152542372881,16,5
97699,left,L2,119,-0.222222222,0.18644067796610164,5,1
97700,left,L1,295,-0.166666667,0.9661016949152543,16,13
97701,left,L3,490,-0.555555556,0.18644067796610164,8,-2
97702,left,L1,533,0,-0.559322034,-8,-8
97703,left,L1,577,0.5555555555555554,-0.491525424,-12,-2
97704,left,L1,340,-0.388888889,0.5593220338983051,12,5
97705,left,L1,232,-0.388888889,0.423728814,10,3
97706,left,L3,549,0.055555556,-0.322033898,-5,-4
97707,left,L2,566,0.5555555555555554,-0.288135593,-9,1
97708,left,L3,619,-0.388888889,-0.661016949,-6,-13
97709,left,L3,430,-0.277777778,-0.254237288,-1,-6
97710,left,L1,347,-0.5,-0.457627119,-2,-11
97711,left,L1,16,-0.222222222,-0.559322034,-6,-10
97712,left,L1,118,0.38888888888888906,0.016949152542372836,-3,4
97713,left,L3,111,0.22222222222222232,-0.830508475,-14,-10
97714,left,L3,625,-0.222222222,0.7966101694915255,14,10
97715,left,L2,148,-0.722222222,-0.389830508,1,-12
97716,left,L1,200,-0.555555556,0.38983050847457634,11,1
97718,left,L3,573,0.4444444444444444,0.4576271186440677,3,11
97719,left,L2,181,0.11111111111111116,-0.152542373,-3,-1
97720,left,L1,462,-0.111111111,0.5932203389830508,10,8
97721,left,L3,390,-0.611111111,-0.322033898,1,-10
97722,left,L3,640,-0.111111111,-0.559322034,-7,-9
97723,left,L1,137,0.6111111111111112,-0.254237288,-9,2
97724,left,L3,58,0.3333333333333335,0.38983050847457634,3,9
97725,left,L2,332,0.4444444444444444,-0.898305085,-17,-9
97726,left,L2,291,0.7777777777777779,0.050847458,-6,8
97727,left,L1,128,0.3333333333333335,-0.762711864,-14,-8
97728,left,L1,377,0.055555556,0.22033898305084754,3,4
97729,left,L2,541,-0.444444444,0.4576271186440677,11,3
97730,left,L1,607,0.11111111111111116,0.5932203389830508,8,10
97731,left,L3,728,0.7777777777777779,0.38983050847457634,-1,13
97732,left,L1,281,-1,0.050847458,10,-8
97733,left,L2,365,0.5,0.22033898305084754,-1,8
97734,left,L1,85,0.4444444444444444,-0.762711864,-15,-7
97735,left,L3,531,0.11111111111111116,-0.016949153,-1,1
97736,left,L3,237,-0.166666667,0.8983050847457628,15,12
97737,left,L1,80,0.5,0.423728814,2,11
97738,left,L3,702,-0.5,0.7627118644067796,16,7
97739,left,L1,176,-0.166666667,0.423728814,8,5
97740,left,L2,610,0.2777777777777777,-0.796610169,-14,-9
97741,left,L3,655,0.7222222222222221,-0.050847458,-7,6
97742,left,L3,301,-0.555555556,0.5254237288135593,13,3
97743,left,L3,119,-0.222222222,0.18644067796610164,5,1
97744,left,L3,322,0.22222222222222232,0.8644067796610169,11,15
97745,left,L3,561,0.6111111111111112,0.22033898305084754,-2,9
97747,left,L3,82,-0.722222222,0.22033898305084754,10,-3
97748,left,L1,719,0.16666666666666674,0.8983050847457628,12,15
97749,left,L3,583,0.38888888888888906,-0.86440678,-16,-9
97750,left,L1,583,0.38888888888888906,-0.86440678,-16,-9
97751,left,L1,378,-0.333333333,0.5932203389830508,12,6
97752,left,L3,154,-0.888888889,-0.016949153,8,-8
97753,left,L1,252,0.38888888888888906,0.7627118644067796,8,15
97754,left,L1,21,-0.166666667,0.6271186440677967,11,8
97755,left,L1,383,-0.611111111,0.35593220338983045,11,0
97756,left,L1,763,-0.555555556,0.4576271186440677,12,2
97757,left,L1,470,0.5,-0.322033898,-9,0
97759,left,L1,384,-0.666666667,-0.084745763,5,-7
97762,left,L2,315,-0.333333333,-0.220338983,0,-6
97763,left,L2,335,0.22222222222222232,0.2542372881355932,2,6
97764,left,L3,222,-0.333333333,0.8644067796610169,16,10
97765,left,L1,400,0.16666666666666674,-1,-16,-13
97766,left,L2,128,0.3333333333333335,-0.762711864,-14,-8
97767,left,L3,391,0.5,-0.118644068,-6,3
97768,left,L2,209,-0.333333333,-0.288135593,-1,-7
97769,left,L1,171,0.666666667,-0.694915254,-16,-4
97770,left,L1,228,-0.722222222,0.016949152542372836,7,-6
97771,left,L3,144,0.8333333333333333,-0.389830508,-13,2
97772,left,L1,476,-0.055555556,0.4915254237288136,8,7
